name,year,Age,WS,WS/48,B2B,season
Nikola Jokic,2020-21,25,15.6,0.301,0,2020
Giannis Antetokounmpo,2019-20,25,11.1,0.279,1,2019
Giannis Antetokounmpo,2018-19,24,14.4,0.292,0,2018
James Harden,2017-18,28,15.4,0.289,0,2017
Russell Westbrook,2016-17,28,13.1,0.224,0,2016
Stephen Curry,2015-16,27,17.9,0.318,1,2015
Stephen Curry,2014-15,26,15.7,0.288,0,2014
Kevin Durant,2013-14,25,19.2,0.295,0,2013
LeBron James,2012-13,28,19.3,0.322,1,2012
LeBron James,2011-12,27,14.5,0.298,0,2011
Derrick Rose,2010-11,22,13.1,0.208,0,2010
LeBron James,2009-10,25,18.5,0.299,1,2009
LeBron James,2008-09,24,20.3,0.318,0,2008
Kobe Bryant,2007-08,29,13.8,0.208,0,2007
Dirk Nowitzki,2006-07,28,16.3,0.278,0,2006
Steve Nash,2005-06,31,12.4,0.212,1,2005
Steve Nash,2004-05,30,10.9,0.203,0,2004
Kevin Garnett,2003-04,27,18.3,0.272,0,2003
Tim Duncan,2002-03,26,16.5,0.248,1,2002
Tim Duncan,2001-02,25,17.8,0.257,0,2001
Allen Iverson,2000-01,25,11.8,0.19,0,2000
Shaquille O'Neal,1999-00,27,18.6,0.283,0,1999
Karl Malone,1998-99,35,9.6,0.252,0,1998
Michael Jordan,1997-98,34,15.8,0.238,0,1997
Karl Malone,1996-97,33,16.7,0.268,0,1996
Michael Jordan,1995-96,32,20.4,0.317,0,1995
David Robinson,1994-95,29,17.5,0.273,0,1994
Hakeem Olajuwon,1993-94,31,14.3,0.21,0,1993
Charles Barkley,1992-93,29,14.4,0.242,0,1992
Michael Jordan,1991-92,28,17.7,0.274,1,1991
Michael Jordan,1990-91,27,20.3,0.321,0,1990
Magic Johnson,1989-90,30,16.5,0.27,1,1989
Magic Johnson,1988-89,29,16.1,0.267,0,1988
Michael Jordan,1987-88,24,21.2,0.308,0,1987
Magic Johnson,1986-87,27,15.9,0.263,0,1986
Larry Bird,1985-86,29,15.8,0.244,1,1985
Larry Bird,1984-85,28,15.7,0.238,1,1984
Larry Bird,1983-84,27,13.6,0.215,0,1983
Moses Malone,1982-83,27,15.1,0.248,1,1982
Moses Malone,1981-82,26,15.4,0.218,0,1981
Julius Erving,1980-81,30,13.8,0.231,0,1980
Kareem Abdul-Jabbar,1979-80,32,14.8,0.227,0,1979
Moses Malone,1978-79,23,14.1,0.2,0,1978
Bill Walton,1977-78,25,8.4,0.209,0,1977
Kareem Abdul-Jabbar,1976-77,29,17.8,0.283,1,1976
Kareem Abdul-Jabbar,1975-76,28,17,0.242,0,1975
Bob McAdoo,1974-75,23,17.8,0.242,0,1974
Kareem Abdul-Jabbar,1973-74,26,18.4,0.25,0,1973
Dave Cowens,1972-73,24,12,0.168,0,1972
Kareem Abdul-Jabbar,1971-72,24,25.4,0.34,1,1971
Kareem Abdul-Jabbar,1970-71,23,22.3,0.326,0,1970
Willis Reed,1969-70,27,14.6,0.227,0,1969
Wes Unseld,1968-69,22,10.8,0.175,0,1968
Wilt Chamberlain,1967-68,31,20.4,0.255,1,1967
Wilt Chamberlain,1966-67,30,21.9,0.285,1,1966
Wilt Chamberlain,1965-66,29,21.4,0.275,0,1965
Bill Russell,1964-65,30,16.9,0.234,0,1964
Oscar Robertson,1963-64,25,20.6,0.278,0,1963
Bill Russell,1962-63,28,13.5,0.185,1,1962
Bill Russell,1961-62,27,15.5,0.217,1,1961
Bill Russell,1960-61,26,13,0.181,0,1960
Wilt Chamberlain,1959-60,23,17,0.245,0,1959
Bob Pettit,1958-59,26,14.8,0.246,0,1958
Bill Russell,1957-58,23,11.3,0.206,0,1957
Bob Cousy,1956-57,28,8.8,0.178,0,1956
Bob Pettit,1955-56,23,13.8,0.236,0,1955
