,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
2,203999,3,Nikola Jokic,DEN,72,2488,732,1293,0.566,92,237,0.388,342,394,0.868,205,575,780,599,95,48,222,192,1898,2585,2.7,0.43
3,203507,4,Giannis Antetokounmpo,MIL,63,1917,685,1238,0.553,89,293,0.304,398,629,0.633,140,716,856,354,61,66,230,195,1857,2180,1.54,0.27
6,203507,7,Giannis Antetokounmpo,MIL,72,2358,721,1247,0.578,52,203,0.256,500,686,0.729,159,739,898,424,92,110,268,232,1994,2538,1.58,0.34
1,201935,2,James Harden,HOU,72,2551,651,1449,0.449,265,722,0.367,624,727,0.858,41,348,389,630,126,50,315,169,2191,2170,2.0,0.4
0,201566,1,Russell Westbrook,OKC,81,2802,824,1941,0.425,200,583,0.343,710,840,0.845,137,727,864,840,132,31,438,190,2558,2740,1.92,0.3
1,201939,2,Stephen Curry,GSW,79,2700,805,1598,0.504,402,886,0.454,363,400,0.908,68,362,430,527,169,15,262,161,2375,2424,2.01,0.65
1,201939,2,Stephen Curry,GSW,80,2613,653,1341,0.487,286,646,0.443,308,337,0.914,56,285,341,619,163,16,249,158,1900,2073,2.49,0.66
0,201142,1,Kevin Durant,OKC,81,3122,849,1688,0.503,192,491,0.391,703,805,0.873,58,540,598,445,103,59,285,174,2593,2572,1.56,0.36
2,2544,3,LeBron James,MIA,76,2877,765,1354,0.565,103,254,0.406,403,535,0.753,97,513,610,551,129,67,226,110,2036,2446,2.44,0.57
1,2544,2,LeBron James,MIA,62,2326,621,1169,0.531,54,149,0.362,387,502,0.771,94,398,492,387,115,50,213,96,1683,1851,1.82,0.54
3,201565,4,Derrick Rose,CHI,81,3026,711,1597,0.445,128,385,0.332,476,555,0.858,81,249,330,623,85,51,278,136,2026,1872,2.24,0.31
1,2544,2,LeBron James,CLE,76,2966,768,1528,0.503,129,387,0.333,593,773,0.767,71,483,554,651,125,77,261,119,2258,2464,2.49,0.48
1,2544,2,LeBron James,CLE,81,3054,789,1613,0.489,132,384,0.344,594,762,0.78,106,507,613,587,137,93,241,139,2304,2501,2.44,0.57
0,977,1,Kobe Bryant,LAL,82,3192,775,1690,0.459,150,415,0.361,623,742,0.84,94,423,517,441,151,40,257,227,2323,2181,1.72,0.59
4,1717,5,Dirk Nowitzki,DAL,78,2820,673,1341,0.502,72,173,0.416,498,551,0.904,122,571,693,263,52,62,167,171,1916,2098,1.57,0.31
28,959,29,Steve Nash,PHX,79,2796,541,1056,0.512,150,342,0.439,257,279,0.921,47,286,333,826,61,12,276,120,1489,1908,2.99,0.22
51,959,52,Steve Nash,PHX,75,2573,430,857,0.502,94,218,0.431,211,238,0.887,57,192,249,861,74,6,245,136,1165,1656,3.51,0.3
0,708,1,Kevin Garnett,MIN,82,3232,804,1611,0.499,11,43,0.256,368,465,0.791,245,894,1139,409,120,178,212,202,1987,2717,1.93,0.57
5,1495,6,Tim Duncan,SAS,81,3181,714,1392,0.513,6,22,0.273,450,634,0.71,259,784,1043,316,55,237,248,231,1884,2425,1.27,0.22
